id,name,surface,status,call_pattern,feature,work,key_fields,ignore,notes,endpoint_method,endpoint_base_url,endpoint_path,endpoint_docs_url,endpoint_spec_file,data_source,capture_verified,capture_fixture,capture_sandbox_status,capture_finding,wired_as
497,pushConsentNotification,plumbing,wired,webhook-in,Inbound AA webhook: consent approved/rejected (NEW),"New hosted endpoint; update consent status, return HTTP 200 with empty body.",consentHandle | consentId | eventType | eventStatus,,Response body must be blank; non-2xx triggers AA retry.,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/pushConsentNotificationtest,https://innobox.idbi.bank.in/api-specification/7514fc60-af7a-4bf5-b78a-8cffa61d56eb/f3178fdd-df1f-4474-a687-81493684b256,docs/idbireposne/Open API Specifications (5).yaml,simulated,True,internal/provider/idbi/testdata/Development_pushConsentNotificationtest.json,200,"INBOUND webhook we host. Body decodes to {consentHandle,consentId,eventType:'CONSENT',eventStatus}. We ack HTTP 200 empty. Sandbox POST returns {message:'Success'}.",aa_handler webhook POST /webhooks/idbi-aa/consent-notification
498,pushDataNotification,plumbing,wired,webhook-in,Inbound AA webhook: financial data ready (NEW),New hosted endpoint; on receipt call 595 to pull statements. Return HTTP 200 empty.,"sessionId | consentId | linkRefNumbers[].{linkRefNumber,fipName,maskedAccountNumber,fiStatus}",,,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/pushDataNotificationtest,https://innobox.idbi.bank.in/api-specification/6c194acc-e25e-4f63-a7d0-a7203e7dfdb5/977b2f55-c805-420f-beba-c4b53f440bd4,docs/idbireposne/Open API Specifications (12).yaml,simulated,True,internal/provider/idbi/testdata/Development_pushDataNotificationtest.json,200,INBOUND webhook we host. Body has sessionId + linkRefNumbers[]. On receipt we call 595. Ack HTTP 200 empty.,aa_handler webhook POST /webhooks/idbi-aa/data-notification
408,fetchCibilScore,both,mock,on-demand-cache,'Check credit health' (NEW â€” no credit-score feature in astra),"New screen + endpoint. Bureau rules forbid speculative/bulk pulls: user/RM-initiated, consent-logged, cache ~30 days.","body.dcResponse.decision | body.dcResponse.bureauResponse.{status,isSuccess} | body.dcResponse.applicant.name | header.{statusCode,statusMessage}",dcRequest.authentication | session tokens,"Sample response has NO raw numeric score field â€” you get 'decision' + bureauResponse. The number, if any, is inside 'document' (formattedReport). Confirm on a live call before promising a score in the UI.",POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/fetchCibilScoretest,https://innobox.idbi.bank.in/api-specification/ef7b3d77-5970-4712-99e0-be87a0aab0fb/d4cc63df-56a3-4dc1-86f5-987898e9f7b3,docs/idbireposne/Open API Specifications (6).yaml,mock,True,internal/provider/idbi/testdata/Development_fetchCibilScoretest.json,200,"DEAD: HTTP 200 but body.dcResponse.bureauResponse.isSuccess=false, idVision IDVErr001 'InvalidUserIdOrPassword'. NO score field anywhere. Bureau credentials in the shipped sample are rejected. Fails identically in ACC's own portal 'Try' console. Mock the score until ACC supplies working credentials.",dead in sandbox - falls back to mock/ErrNotAvailable
433,fetchLoanInterestRates,both,mock,on-demand-cache,Loan calculator / 'check your rate' (NEW â€” astra has no loans area),New: part of a Loans section. RM: rate quoting during conversion.,"result.{baseIntRate.value,effctIntRate.value,penalIntRate.value} | result.oslabRateLL[].{beginSlabAmt,endSlabAmt,normalIntPcnt}",delFlg | laVerSlabSrlNum | key.serial_num,"SPEC: Spec request has NO 'input' wrapper â€” flat: {crncyCode,intTblCode:{tblCode},loanAmt:{amountValue,currencyCode},loanPerdDays,loanPerdMnths,originationDate}. tblCode example 'LY001'.",POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/fetchLoanInterestRatestest,https://innobox.idbi.bank.in/api-specification/f8b2ce08-deff-4d06-8f98-a25bb129dc41/20aa3c86-06d8-4a47-86e1-9b4b9d1f8aa5,docs/idbireposne/Open API Specifications (15).yaml,mock,True,internal/provider/idbi/testdata/Development_fetchLoanInterestRatestest.json,200,"BROKEN: sandbox returns an unrelated kitchen-sink object (webRedirectInfo, drivingLicence, ckycDob, workPermit, hpPayoffInfo...) â€” NOT a rate table. Mock or hardcode a rate card.",dead in sandbox - falls back to mock/ErrNotAvailable
473,generateLoanRepaymentSchedule,both,wired,on-demand-cache,EMI schedule / amortization visualizer (NEW),New: render oamortLL[] as a month-by-month principal/interest table.,"result.loanModellingSchOutputVO.oamortLL[].amortStruct.{flowDate,instlAmt,intAmt,princAmt,princOutStanding,cummIntAmt,cummPrincAmt}",doScheduleCustomData | lamodRepaymentLL Key,,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/generateLoanRepaymentScheduletest,https://innobox.idbi.bank.in/api-specification/c7587225-fee5-4577-bb41-3923cf850a66/7ac814d1-5c6c-4c31-a390-faa58f21f1a4,docs/idbireposne/Open API Specifications (23).yaml,idbi,True,internal/provider/idbi/testdata/Development_generateLoanRepaymentScheduletest.json,200,"Flat: loanModellingSchOutputVO{lamodRepaymentLL[EMI summary], oamortLL[{cummPrincAmt,cummIntAmt,princOutStanding,instlAmt,intAmt,flowDate}]}. Full amortization.",idbiloans.RepaymentSchedule (GET /api/v1/idbi/loans/{id}/schedule)
391,getLoanAccountDetails,both,wired,sync,'My Loans' detail screen (App) + credit-risk view (RM). NEW.,New. RM primary consumer: restructuring history is a risk signal.,"result.netIntRate.value | result.loanGenDetails.loanAmt | result.{amtAlreadyDisb,amtAvailForDisb} | result.loanGenDetails.reschedParams.* | result.loanGenDetails.pmtPlan.repmtRec",loanAcctGenInfo | ACHDetails | postDtChkRec | leaseDetailsAdd | dealer codes,reschedParams / pmtPlan are nested under loanGenDetails. Full payload is ~7.8 KB of mostly boilerplate.,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/getLoanAccountDetailstest,https://innobox.idbi.bank.in/api-specification/82814bf5-f546-4afb-a147-92ad799d77cb/4c4e4152-844e-4523-b25f-777eedecc310,docs/idbireposne/Open API Specifications (20).yaml,idbi,True,internal/provider/idbi/testdata/Development_getLoanAccountDetailstest.json,200,"result{} envelope. netIntRate.value, loanGenDetails{loanAmt,loanPeriodMonths,rePmtMethod}, amtAlreadyDisb/amtAvailForDisb/disbAmt, drIntMethodInd. Address-validated like 362 (Sample2 -> 400).",idbiloans.Refresh master enrich (GET /api/v1/idbi/loans)
538,inquireHPPayoff,both,wired,on-demand-cache,'Foreclose my loan' quote (NEW),New: show netPayofamt + the pending* breakup.,"executeFinacleScriptCustomData.{netPayofamt,pendingPrincipal,pendingNormalInterest,pendingPenalInterest,pendingOverdueInterest,interestRate}",script wrapper headers,netPayofamt spelled with one 'f' in the source. No errors array.,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/InquireHPAyofftest,https://innobox.idbi.bank.in/api-specification/2d61e77c-2c20-453c-b985-950891c08eb4/89b70ca4-9a66-4940-8759-c6b16fbda90d,docs/idbireposne/Open API Specifications (18).yaml,idbi,True,internal/provider/idbi/testdata/Development_InquireHPAyofftest.json,200,"Flat: executeFinacleScriptCustomData{netPayofamt (one 'f'), pendingPrincipal, pendingNormal/Penal/OverdueInterest, interestRate}. Gateway path is 'InquireHPAyoff' (IDBI typo). No errors array.",idbiloans.PayoffQuote (GET /api/v1/idbi/loans/{id}/payoff)
404,getLoanOverduePositionEnquiry,rm,wired,sync,Default-prediction / Early Warning (PS4) â€” RM portal. NEW.,New RM module: batch across the book; feed the interest-vs-principal overdue split into a risk model. App: at most an EMI-overdue nudge.,"result.loanOvduRec[].{totalIntDmd,totalIntColl,totalIntOvdu,pTotalDmd,pTotalColl,pTotalOvdu} | result.recCtrlOut.{isLastSet,setNum}",branch address arrays,Paginated; demands are cumulative across instalments. SPEC: Spec sample nests loanOvduPosInqCustomData INSIDE input (xlsx had it as a sibling). recCtrlIn.maxRec/setNum sent as empty strings for the first page.,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/getLoanOverduePositionEnquirytest,https://innobox.idbi.bank.in/api-specification/4abca8cd-a62c-4c0d-97f2-3e381e3d0eb6/b3c70029-5315-4237-a31a-a9975423ddb3,docs/idbireposne/Open API Specifications (8).yaml,idbi,True,internal/provider/idbi/testdata/Development_getLoanOverduePositionEnquirytest.json,200,"Flat: loanOvduRec[{totalIntDmd/Coll/Ovdu, pTotalDmd/Coll/Ovdu}], recCtrlOut{isLastSet:'Y'}. Paginated. Demands cumulative across instalments.",idbiloans.OverduePosition (GET /api/v1/idbi/loans/{id}/overdue-position)
402,getLoanOverdueDetails,rm,wired,sync,NPA / DPD tracking (PS4) â€” RM portal. NEW.,New RM module: primary feed for default models. App: overdue nudge only.,"result.overdueDetails[].{dpd,npaStatus,npaDate,outstandingBal,totalOverdueAmt,overdueDate}",error envelopes,npaStatus carries the SMA-0/1/2/NPA classification.,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/getLoanOverdueDetailstest,https://innobox.idbi.bank.in/api-specification/3925b39f-62de-409b-bac4-6f9067a983d7/fc3639ba-3f64-4f04-9c2e-e3fdfa00e320,docs/idbireposne/Open API Specifications (7).yaml,idbi,True,internal/provider/idbi/testdata/Development_getLoanOverdueDetailstest.json,200,"Flat: overdueDetails[{accountId, outstandingBal, dpd, npaStatus:'SA'|SMA-0/1/2|NPA, totalOverdueAmt, npaDate}]. Multiple loan accts per customerId. Empty dates are literal 'NULL'.",idbiloans.Refresh + rmcreditrisk.Refresh
441,fetchLoanAccountLimits,rm,wired,sync,MSME working-capital health / drawing-power erosion (PS3/PS4) â€” RM. NEW.,New RM module: track drawing power vs sanction limit over time.,"result.accountLimitDetails.acctDrwngPowerLimitHistMsgInq.olimitLL[].{drwngPower,drwngPowerPcnt,applicableDate} | result.accountLimitDetails.acctSanctLimitHistMsg.olimitLL[].{sanctLimit,expiryDate,applicableDate}",empty pagination records,Both arrays are history; sort by applicableDate.,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/fetchLoanAccountLimitstest,https://innobox.idbi.bank.in/api-specification/9ca0ce35-fb37-4cd7-a484-c5a93a9c717b/867b6626-f4a4-473b-a846-5127dbab9fdc,docs/idbireposne/Open API Specifications (28).yaml,idbi,True,internal/provider/idbi/testdata/Development_fetchLoanAccountLimitstest.json,200,"Flat: accountLimitDetails{acctDrwngPowerLimitHistMsgInq.olimitLL[], acctSanctLimitHistMsg.olimitLL[]}. Both are dated history â€” sort by applicableDate.",idbiloans.LoanLimits (GET /api/v1/idbi/loans/{id}/limits)
442,fetchCustomerLimitDetails,rm,wired,sync,CIF-level credit exposure / leverage scoring (PS3/PS4) â€” RM. NEW.,"New RM module: funded vs non-funded mix, utilisation, rating drift.","result.customerLimitDetailsResponse.{totalLimit,totalOutstanding,fundedLimit,nonFundedLimit} | result.customerLimitDetailsResponse.limitHeaderDetails.custRating | result.customerLimitDetailsResponse.ltCustomerDetails.accountManager",node tree hierarchy | currency precision codes,,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/fetchCustomerLimitDetailstest,https://innobox.idbi.bank.in/api-specification/ba793222-d48e-4b84-9ebc-6895f9abf33e/26292680-408a-40ac-a9d8-a54539b13d8b,docs/idbireposne/Open API Specifications (4).yaml,idbi,True,internal/provider/idbi/testdata/Development_fetchCustomerLimitDetailstest.json,200,"Flat. USES {amount,currency} NOT {amountValue,currencyCode}. customerSummary + exposureSummary{totalLimit,fundedLimit,totalOutstanding} + customerLimits[] (dd-mm-yyyy dates).",rmcreditrisk.Refresh (GET /api/rm/idbi/clients/{id}/credit-risk)
428,createLead,rm,wired,event,Lead pipeline (PS2) â€” RM has /clients/{id}/interactions (follow-ups) but not CRM lead creation. NEW.,"New: when an AI insight flags propensity, POST a lead to the IDBI CRM; track the returned leadId.",result.leadId | result.errors,telemetry headers,"Request keys 'dob ', 'mobileNo ', 'preferedTime ' have trailing spaces in the source. SPEC: Spec sample uses clean keys (mobileNo, not 'mobileNo ') â€” the trailing spaces in the xlsx were an artifact. Real sample fields: leadType,customerType,firstName,lastName,mobileNo,emailId,pancard,addressLine1,pincode,state,product,prodCategory,prodSubCategory,estimatedAmount,solid,leadChannel,leadSource,leadId.",POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/createLeadtest,https://innobox.idbi.bank.in/api-specification/d6c2980d-a6cd-434c-900b-bc53936a5ed9/5c611dd3-bb88-46e4-8944-dcabdabd5b96,docs/idbireposne/Open API Specifications (3).yaml,idbi,True,internal/provider/idbi/testdata/Development_createLeadtest__sample1alreadyexitlead.json,200,"result{message,errors:[]}. 'Lead already created' / created. Sample3 -> 400 'pancard is not valid: must be AAAAA9999A' (spec's sample PAN is malformed, not an API bug).",idbileads.Submit (POST /api/v1/idbi/leads)
456,performCustomerMasterDedupeCheck,rm,mock,on-demand-cache,Prospecting / duplicate-CIF check (PS2) â€” RM. NEW.,"New: on lead entry, search by PAN/mobile/GSTIN; surface existing relationship if any.","result.allMasterRecords[].{customerCount,custId,custName,dateOfBirth,panGirNum,ckycNo,customerType,kycDueDate}",NREGA/PIO/OIC/workPermit tags | freeText15,customerCount on record 0 = match / no-match / multi-match. SPEC: NO OpenAPI spec in idbireposne/ â€” endpoint unknown. Only the xlsx skeleton is available. Ask ACC/IDBI for the spec or check the portal catalogue.,POST,,,,,mock,False,,,"No OpenAPI spec in idbireposne/ and not in the capture. Portal lists it as 'performCustomerMasterDedupeCheck' / category 'Customer Onboarding' â€” 'takes Name, DOB, PAN to query the customer record'. Get the spec from the portal 'API Subscribed' tab, then wire.",dead in sandbox - falls back to mock/ErrNotAvailable
415,searchCkycDetails,rm,wired,on-demand-cache,CKYC verification â€” astra /kyc handler exists but POST /pan/verify returns notConfigured (stub),"Fill in the KYC handler: XML request/response, by ID or name+DOB, batch-capable.","searchInCkycResponseDetails.{ckycAvailable,ckycId,ckycName,ckycAccType,ckycFatherName,ckycGenDate} | searchInCkycResponseDetails.ckycIdDetails.id[].{ckycAvailableIdType,ckycAvailableIdTypeStatus}",ckycPhoto | ckycPhotoBytes,"XML, not JSON. Content-Type: application/xml. SPEC: OpenAPI spec shows the gateway takes a JSON body: {input:{apiToken,parentCompany,searchInCkycRequestDetails:[{queryId,recordIdentifier,applicationFormNo,branchCode,inputIdType,inputIdNo,sourceSystem,...}]}}. The xlsx skeleton showed XML â€” use the JSON shape from the spec. Response may still be XML-structured; confirm live. ckycPhotoBytes = image blob, ignore.",POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/searchCkycDetailstest,https://innobox.idbi.bank.in/api-specification/0a85e451-deae-4e1c-bad2-b56de9accd23/3775f2c5-004b-4104-8961-f570bfaf1347,docs/idbireposne/Open API Specifications (16).yaml,idbi,True,internal/provider/idbi/testdata/Development_searchCkycDetailstest.json,200,"result{} envelope. JSON in, JSON out (not XML). details.searchInCkycResponseDetails{ckycAvailable:'Yes', ckycId, ckycName, ckycIdDetails.id[]}. Carries a base64 ckycPhoto/ckycPhotoBytes â€” ignore those.",idbikyc.VerifyPAN (POST /api/v1/kyc/pan/verify)
508,fetchHRMSEmployeeDetails,rm,wired,on-demand-cache,Staff directory / lead routing â€” RM auth exists (OTP) but no HRMS org lookup. NEW.,New: resolve an EIN to name/grade/branch/region and the reporting chain for lead assignment.,"getHRMSEmployeeDetails.{ein,fullNameTitle,grade,position,location,region,email,sol,zone} | getHRMSEmployeeDetails.{supEin,supFullNameTitle,supEmail,supLocation}",empClass | internal classification codes,otpRequired in request / otpId in response â€” the call can be OTP-gated.,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/fetchHRMSEmployeeDetailstest,https://innobox.idbi.bank.in/api-specification/d293668b-1aaf-4930-8df1-bf119c7967c0/6098f184-3bd6-42ac-87af-88f42c661d90,docs/idbireposne/Open API Specifications (17).yaml,idbi,True,internal/provider/idbi/testdata/Development_fetchHRMSEmployeeDetailstest.json,200,"Flat: otpId (OTP 'sent' â€” simulated in sandbox), getHRMSEmployeeDetails{ein,grade,position,vertical,organization,sol,zone,supEin,supEmail}, errors:[]. Backs RM/staff login.",idbihrms.VerifyActiveEmployee (RM login pre-check)
